Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000263384,-0.231262604,0.093705724,-0.021388165,0.13017484,-0.29078328
ENST00000376745,0.219948508,0.157836061,0.136759669,0.189881086,-0.048708493
ENST00000248342,-0.007595379,-0.011662033,-0.024876307,0.177863403,-0.09436609
ENST00000600213,-0.951530958,-0.842238718,-0.677662803,-0.976843992,-0.787599558
ENST00000389805,-0.601658544,-0.307478841,-0.374820426,-0.592864466,-0.866809021
ENST00000636275,-1.11560287,-1.351264885,-0.593961005,-0.888482506,-1.232824433
ENST00000382581,-0.372182621,-0.028239513,-0.252164404,-0.714278903,-0.785220542
ENST00000245857,-0.372685946,-0.390504318,-0.435583091,-0.279640119,-0.754134717
ENST00000361681,-0.70393041,-0.569626182,-0.733481875,-0.788143664,-0.405982227
ENST00000377803,-0.618958254,-0.259251085,-1.135358126,-0.368901491,-0.583010253
ENST00000290541,-0.686387311,-0.340628935,-0.599599623,-0.814925899,-0.495675418
ENST00000373622,-1.291898401,-0.602392057,-0.401101819,-0.570843196,-1.378669112
ENST00000004103,-0.626581868,-0.332201861,-0.629209101,-0.932109439,-1.042587862
ENST00000462576,-0.184441747,-1.278263054,-0.876439829,-0.686996941,-0.61425354
ENST00000621085,-1.545416746,-0.895608728,-1.038590878,-0.932109439,-1.359824925
ENST00000450169,-0.504898454,-0.278263054,-0.47824584,-0.932109439,-0.463187566
ENST00000621628,-1.735715024,-1.036188266,-1.103173797,-1.310621062,-0.953148184
ENST00000404814,0.432642861,0.319736467,0.554837342,0.826914639,0.044715978
ENST00000222247,0.159139551,0.235291513,0.235529038,0.446567073,0.233645924
ENST00000316403,0.346131416,0.913654676,0.41151719,0.405248697,0.586171021
ENST00000262584,0.20601841,0.202622449,0.242982754,0.457016788,0.353491896
ENST00000299964,0.341924865,0.288516913,0.312813434,0.790609269,0.196886992
ENST00000258424,0.091175788,0.110160453,0.472455314,0.334323544,0.162735255
ENST00000255409,0.384789807,0.306699447,0.178446664,0.447616745,0.602760989
ENST00000388835,0.635138102,0.409425749,0.244759133,0.738958269,0.561949308
ENST00000294338,0.064702271,-0.032188713,0.047938194,0.406146826,0.342314183
ENST00000292401,0.054374716,0.09648174,0.35628596,0.251336702,0.190876717
ENST00000217407,0.444408398,0.397979954,0.429806644,0.470691388,0.590690051
ENST00000270792,0.48493514,0.265080358,0.392564946,0.613577913,0.217490998
ENST00000339083,0.253847164,0.299204911,0.148111362,0.562896365,0.327150046
ENST00000552981,0.341901107,0.438611123,0.503767912,0.420192305,0.365018231
ENST00000282050,0.128124953,0.20404627,0.186569969,0.341455635,0.33831463
ENST00000526464,0.592368542,0.342128937,0.441097712,0.740472183,0.485137205
ENST00000404735,0.457372966,0.522088481,0.425792465,0.726989484,0.263445343
ENST00000263368,0.509971896,0.203605954,0.338381711,0.633375687,0.428083407
ENST00000435882,0.115058968,0.076642364,0.440057527,0.674921485,0.274480113
ENST00000291568,0.534534237,0.635322195,0.553720945,0.688749719,0.46925671
ENST00000330244,-0.163252125,0.143200715,0.339959603,0.570390902,0.243081231
ENST00000370645,0.181919912,0.21864327,0.398704485,0.520402766,0.358087334
ENST00000315758,0.080694182,0.084307026,0.243559947,0.176557247,0.464523574
ENST00000378364,0.323979199,0.475487125,0.343758379,0.807922458,0.442517799
ENST00000361427,0.554276818,0.580776024,0.298592063,0.564963829,0.701522328
ENST00000263672,0.260590493,0.247142602,0.266718263,0.237815563,0.476382552
ENST00000370873,0.253377952,0.340382573,0.423741559,0.554939305,0.386004614
ENST00000319006,0.306003155,0.165084842,0.281708005,0.424584074,0.520047552
ENST00000503453,-0.069799181,0.759211652,0.038023987,0.3745519,0.887231319
ENST00000634245,0.213440813,0.130376675,0.26120877,0.142529362,0.540503481
ENST00000361298,0.293409118,0.434887716,0.52315476,0.457164964,0.400182192
ENST00000429243,0.114352422,0.089712409,0.128425926,0.192337932,0.471748978
ENST00000340533,-0.961706088,-0.669772017,0.091258154,-0.536612126,-0.073483001
ENST00000405140,-0.126073593,-2.135006003,-0.09883225,0.070530443,0.062150952
ENST00000303577,-0.866959557,-0.997991943,0.181010444,0.214194866,-0.074378929
ENST00000255040,-0.92052872,-0.653855329,0.111784579,-0.417536266,0.038979412
ENST00000254878,-0.967053495,-0.738442709,-0.132993267,-0.647584078,0.004497274
